ZIP,X_COORD,Y_COORD,ZIP_OFFER_NUM,ZIP_OFFER_NUM_LVL,ZIP_RATE_AVG,ZIP_RATE_AVG_LVL,GROUP,LON,LAT
801,-11.629573090342305,4.79483250389015,2114,0.7656810091480378,8.334053177993182,1,3,-104.47023254839588,39.50890687337322
664,-10.698032773985306,4.775810108319328,545,0.6302618975744905,8.333558749385487,1,4,-96.10206350882561,39.376942684712866
083,-8.353715865513308,4.784417102742201,180,0.5198497031265826,8.33081897094698,1,8,-75.04270641182342,39.436683015480504
084,-8.290316339207509,4.77381364532782,38,0.3663561646129646,8.328680784747782,1,8,-74.47317877695903,39.36307811316901
994,-13.047486932159208,5.812911678027184,49,0.3912023005428146,8.328372657235903,1,7,-117.2075693050834,46.20282389124356
224,-8.574283826310914,4.593691857289921,558,0.6326149473155099,8.32694228509483,1,17,-77.02410211553907,38.10091722286764
538,-10.101284080294347,5.293036011233181,38,0.3663561646129646,8.326679267253462,1,10,-90.74137878561615,42.875468237811624
982,-13.566567327505892,6.170443837644181,3067,0.8028781162487147,8.32665528108071,1,7,-121.87054783335073,48.38081201005668
454,-9.370684660177549,4.829609788648734,664,0.6499787040655854,8.326410264870292,1,2,-84.17829252901836,39.7495206708571
980,-13.56004868678716,6.007716639924366,21340,0.996838538411397,8.324557564334473,1,7,-121.81198988745751,47.40064589832273
067,-8.152484400708515,5.1125140110229665,211,0.5356586274672013,8.324369549852836,1,8,-73.23501340702435,41.67563306075835
983,-13.693967205425812,6.01902421665374,12187,0.9408207140105599,8.322684893011429,1,7,-123.01500040865497,47.4693556929816
130,-8.480190390388534,5.305891644778128,436,0.607993319509559,8.32116185257569,1,8,-76.1788463992951,42.96004092545642
116,-8.218151355105633,4.951252580201539,10,0.23978952727983707,8.317411974741475,1,8,-73.82490969498946,40.58453575280311
103,-8.254547788229804,4.950843499448106,113,0.4736198448394496,8.313626662392785,1,8,-74.15186441661824,40.5817448524886
796,-11.099627476423398,3.8247132782285,206,0.5332718793265369,8.313384910293063,1,5,-99.7096501010413,32.46657801378129
549,-9.903128019419206,5.49566593612809,492,0.620050917404269,8.305941634055436,1,13,-88.96131260436557,44.19498258864558
080,-8.332903402908144,4.831598756356652,8089,0.8998384010052538,8.30561881813122,1,8,-74.85574487923957,39.76325644827807
746,-10.806132922647281,4.397823265536842,143,0.4969813299576001,8.305591228050952,1,4,-97.07314366641207,36.70324479745714
812,-11.844040592629591,4.645208151168177,201,0.5308267697401206,8.30557304460214,1,3,-106.39682690091195,38.464181019311106
510,-10.677059001021881,5.252686329293435,245,0.5505331535932363,8.305520647889344,2,10,-95.91365290063864,42.60926817427695
513,-10.590776437014357,5.353007576357453,36,0.3610917912644224,8.303244307316994,2,10,-95.13856344062884,43.269007477456086
440,-9.048353074824204,5.093697561944409,1625,0.7393878290107756,8.301721915718641,2,0,-81.2827386322445,41.54925641759839
248,-9.088189256762515,4.505786818434526,9,0.23025850929940458,8.301306622291472,2,2,-81.64059314320602,37.47687293883708
805,-11.727603269759078,4.947725699367143,2597,0.7862497197230545,8.29903033905101,2,3,-105.35085263314654,40.56047024060724
210,-8.520213143484234,4.778082348120273,1590,0.7372118028337786,8.297787108644942,2,17,-76.5383769074792,39.39271905715458
183,-8.36973265189378,5.030386629555612,62,0.41431347263915325,8.295995037843161,2,8,-75.18658765190396,41.12222537973932
140,-8.74950423676388,5.2839670376617685,675,0.6516193076042964,8.294072354757327,2,0,-78.59813384353501,42.81573683334042
219,-8.453659660359268,4.803952604672664,734,0.6599870499212837,8.29299021729428,2,17,-75.94051679645372,39.572087104147336
604,-9.807891879752113,5.069235240947223,9409,0.9149528232579426,8.290641485239709,2,13,-88.10579180573066,41.38459043309349
671,-10.898865643877912,4.509878574375706,129,0.48675344504555823,8.289959348926049,2,4,-97.90617587460677,37.506037459701055
198,-8.413716515955734,4.832450282822655,106,0.46728288344619057,8.288761809759936,2,8,-75.58170142531887,39.76913623822228
458,-9.3764891466828,4.986845125538492,563,0.6335054251498059,8.28855822102909,2,13,-84.23043511845968,40.82691524245179
691,-11.306002115752777,5.073660789376739,139,0.49416424226093036,8.288178001232392,2,3,-101.56354502868366,41.414411610269866
685,-10.76198969814652,4.986784514124074,499,0.6214608098422192,8.287573723628261,2,4,-96.67659833381853,40.82650323846754
539,-9.968416564084544,5.408804173409911,301,0.571042701737487,8.287369907663143,2,13,-89.54780957987352,43.63287997324598
882,-11.590295046828915,3.88470731767099,156,0.5056245805348307,8.28729067663713,2,14,-104.11739188021198,32.920129763765175
225,-8.596591123880083,4.589460883951652,152,0.5030437921392436,8.285066465156914,2,17,-77.22449197907692,38.071002060366126
161,-8.939339335235019,5.040895612116569,125,0.4836281906951478,8.285020107463616,2,0,-80.30345154772459,41.193302011716874
124,-8.26789084616727,5.175423840158989,44,0.38066624897703194,8.27763300662548,2,8,-74.27172714543941,42.09635459198224
800,-11.677986545557076,4.83830402548971,9202,0.9127284796838857,8.276424045987984,2,3,-104.90513801616052,39.8095427374589
993,-13.228139115776067,5.8435752461881725,930,0.6836259277277067,8.276140024373678,2,7,-118.8303954816093,46.39313800317756
106,-8.210723071196409,5.018312725088834,77,0.43567088266895915,8.274831447254567,2,8,-73.75818028528512,41.04046940125317
881,-11.55713116249483,4.062220840766191,446,0.610255859461357,8.27371594144039,2,14,-103.81947563843119,34.24851728925302
502,-10.4193140473498,5.105665293996385,158,0.5068904202220231,8.273664518016089,2,10,-93.59829058775557,41.62966378136259
991,-13.150297187190947,6.095066195254768,99,0.46051701859880917,8.26934425718076,2,7,-118.1311295396758,47.929090967295245
